"","male","race_white","race_black","race_american_indian","race_asian_pacificislander","race_other","hispanic","grade","fam_income","fam_logincome","gen_health","close_to_people","part_of_school","students_prejudiced","happy_at_school","teachers_fair","school_feels_safe"
"3972",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11,40000,10.5966597327836,"(3) (3) Good",5,5,4,5,4,5
"3973",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,24000,10.0858507751287,"(1) (1) Excellent",1,1,5,1,1,1
"3974",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,10,12000,9.39274525863144,"(1) (1) Excellent",1,1,4,1,2,1
"3975",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,11,44000,10.6919676399149,"(1) (1) Excellent",1,3,5,1,1,1
"3976",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,10,NA,NA,"(2) (2) Very good",2,2,2,1,1,2
"3977",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,33000,10.4042931430198,"(2) (2) Very good",2,1,3,2,3,2
"3978",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,54000,10.8967578438935,"(1) (1) Excellent",3,1,5,1,1,3
"3979",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12,32000,10.3735224312936,"(3) (3) Good",1,1,4,3,1,4
"3980",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,12,48000,10.7789771230064,"(1) (1) Excellent",2,2,1,1,2,1
"3981",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,60000,11.002116507732,"(2) (2) Very good",2,2,4,2,2,1
"3982",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,45000,10.7144399907278,"(2) (2) Very good",5,5,5,5,5,2
"3983",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,NA,NA,"(3) (3) Good",3,3,4,2,4,2
"3984",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,11,10000,9.21044036697652,"(3) (3) Good",1,1,1,1,1,1
"3985",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9,35000,10.463131911492,"(1) (1) Excellent",3,3,2,1,3,3
"3986",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,40000,10.5966597327836,"(2) (2) Very good",1,1,5,1,1,1
"3987",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11,50000,10.8197982842103,"(1) (1) Excellent",2,1,2,2,3,1
"3988",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,35000,10.463131911492,"(3) (3) Good",2,3,2,2,2,2
"3989",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,70000,11.1562648066437,"(3) (3) Good",2,3,2,2,5,2
"3990",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,NA,NA,"(3) (3) Good",2,2,4,1,1,1
"3991",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,11,23000,10.043292972227,"(1) (1) Excellent",3,2,4,1,2,2
"3992",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12,50000,10.8197982842103,"(1) (1) Excellent",3,2,4,2,3,2
"3993",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,54000,10.8967578438935,"(3) (3) Good",2,2,3,2,3,2
