"male","race_white","race_black","race_american_indian","race_asian_pacificislander","race_other","hispanic","grade","fam_income","fam_logincome","ever_smoked","ever_alcohol","ever_marijuana","ever_cocaine","delinquency_agg"
0,1,0,0,0,0,0,9,75000,11.2252567257629,0,0,0,0,5
1,1,0,0,0,0,0,10,1e+05,11.5129354649202,0,0,0,0,2
1,1,0,0,0,0,0,12,55000,10.9151066458675,0,0,0,0,0
1,0,1,0,0,0,0,10,10000,9.21044036697652,0,0,0,0,6
1,0,1,0,0,0,0,11,40000,10.5966597327836,0,0,0,0,1
0,1,0,0,0,0,0,12,NA,NA,1,1,1,0,6
1,0,0,0,1,0,0,7,NA,NA,0,0,0,0,0
0,0,0,0,0,1,1,12,NA,NA,0,1,0,0,2
0,1,0,0,0,0,0,10,80000,11.2897944135779,1,1,0,0,3
1,1,0,0,0,0,0,10,32000,10.3735224312936,0,0,0,0,1
1,1,0,0,0,0,0,9,28000,10.2399955028053,NA,NA,NA,NA,NA
1,1,0,0,0,0,0,10,35000,10.463131911492,1,1,1,0,4
0,1,0,0,0,0,0,11,47000,10.7579241570616,0,1,0,0,1
1,1,0,0,1,0,0,8,NA,NA,1,1,0,0,4
1,0,0,0,1,0,0,7,117000,11.6699377607519,0,0,0,0,3
1,1,0,0,0,0,0,12,55000,10.9151066458675,1,1,1,0,2
0,1,0,0,0,0,0,11,20000,9.90353755128617,0,0,0,0,0
0,1,0,0,0,0,0,9,50000,10.8197982842103,1,1,0,0,0
1,1,0,0,0,0,0,NA,50000,10.8197982842103,1,1,1,1,10
0,1,0,0,0,0,0,11,105000,11.5617251529038,1,1,1,0,1
1,1,0,0,0,0,1,11,135000,11.8130374648005,0,0,1,0,2
1,0,0,0,1,0,1,12,65000,11.0821579333748,1,0,0,0,0
0,0,0,0,0,1,1,10,37000,10.5187002182882,0,0,0,0,1
0,1,0,0,1,1,0,9,35000,10.463131911492,1,1,1,0,7
0,0,0,0,0,1,1,12,70000,11.1562648066437,1,1,0,0,2
1,0,0,0,0,1,1,9,120000,11.6952553550628,0,0,0,0,0
0,1,0,0,0,0,0,9,95000,11.4616426968431,0,1,0,0,1
1,1,0,0,0,0,0,10,36000,10.4913019948302,1,0,0,0,8
1,0,1,0,0,0,0,12,39000,10.5713425658087,1,1,1,0,1
1,0,0,0,1,0,0,11,150000,11.9183972397228,1,1,0,0,4
0,1,0,0,1,0,0,12,50000,10.8197982842103,1,1,1,0,4
1,0,1,0,0,0,0,11,65000,11.0821579333748,0,1,0,0,10
1,1,0,0,0,0,0,10,20000,9.90353755128617,1,1,1,0,4
1,1,0,0,0,0,0,12,50000,10.8197982842103,1,1,1,0,2
1,0,0,0,1,0,0,10,14000,9.54688403461792,0,0,0,0,3
1,1,0,0,0,0,0,9,45000,10.7144399907278,1,1,0,0,5
0,1,0,0,0,0,0,12,75000,11.2252567257629,0,1,1,0,2
1,0,0,0,0,1,1,10,94000,11.4510606994934,0,1,0,0,3
1,1,0,0,0,0,0,11,NA,NA,1,1,1,1,13
0,1,0,0,0,0,0,12,NA,NA,0,0,0,0,2
